path,track_name,text,time_signature,key_signature,set_tempo,clocks_per_click
autumn_leaves_pt_dm.mid, _-_ name Autumn Leaves __ time 0 _-_ name Piano or Electric __ time 0 _-_ name Bass __ time 0 _-_ name Drum Rides __ time 0 _-_ name Drum Hits __ time 0 _-_ name VSC 1 Output 1 __ time 0 _-_ name VSC 1 __ time 0 _-_ name Cakewalk TTS-1 1 Output 1 __ time 0 _-_ name Cakewalk TTS-1 1 __ time 0, _-_ text Doug McKenzie@ __ time 0 _-_ text dougmck@tpg.com.au@ __ time 0,4/4,Eb,185.0,24
you_make_me_smile-Dave-Koz_dz.mid, _-_ name untitled __ time 0 _-_ name YOU MAKE ME SMILE __ time 0 _-_ name **** by Dave Koz **** __ time 0 _-_ name sequenced by __ time 0 _-_ name Devian Zikri __ time 0 _-_ name Purwanto Nugroho __ time 0 _-_ name Iman Tjahjono __ time 0 _-_ name devian@ix.netcom.com __ time 0 _-_ name http://www.geocities.com/~devian/midfile.htm __ time 0,,4/4,C,89.0,24
maracangalha_sn.mid, _-_ name Maracangalha by Dorival Caymmi//   seq. by Serban Nichifor __ time 0, _-_ text Maracangalha by Dorival Caymmi// @@seq. by Serban Nichifor __ time 0,4/4,C,171.0,24
lovable-1932-roy-fox-kar_jpp.mid, _-_ name Soft karaoke __ time 0 _-_ name Words __ time 0 _-_ name piano 1 __ time 0 _-_ name piano 2 __ time 0 _-_ name piano 3 __ time 0 _-_ name piano 4 __ time 0 _-_ name lyric __ time 0 _-_ name pizz str bass __ time 0 _-_ name * __ time 0 _-_ name Lovable 1932 Roy Fox JPitt-Payne __ time 0 _-_ name Lyrics by Gus Kahn __ time 0 _-_ name Music by Harry Woods __ time 0 _-_ name @ MCMXXXII by Metro-Goldwyn-Meyer Corp. New York __ time 0 _-_ name * __ time 0 _-_ name sequence & karaoke by James Pitt-Payne// London UK __ time 0 _-_ name on Saturday 5 October 2013 at 17.21 __ time 0 _-_ name in association with Veda Meyer-Castens __ time 0 _-_ name * __ time 0," _-_ text @KMIDI KARAOKE FILE __ time 0 _-_ text @LLyrics by Gus Kahn - Music by Harry Woods __ time 0 _-_ text @TLovable 1932 Roy Fox JPitt-Payne __ time 0 _-_ text @Tby James Pitt-Payne// London UK - 5 Oct 2013 __ time 0 _-_ text @T2013 __ time 0 _-_ text For __ time 4200 _-_ text  the __ time 90 _-_ text  first __ time 30 _-_ text  time __ time 120 _-_ text  since __ time 120 _-_ text  I __ time 120 _-_ text  met __ time 120 _-_ text  you __ time 120 _-_ text /an __ time 210 _-_ text  op __ time 30 _-_ text por __ time 90 _-_ text tu __ time 30 _-_ text nit __ time 120 _-_ text y __ time 120 _-_ text  is __ time 120 _-_ text  here __ time 120 _-_ text /to __ time 360 _-_ text  tell __ time 120 _-_ text  you __ time 120 _-_ text  how __ time 240 _-_ text  I __ time 90 _-_ text  love __ time 30 _-_ text  you __ time 120 _-_ text /what __ time 240 _-_ text  you __ time 90 _-_ text  mean __ time 30 _-_ text  to __ time 120 _-_ text  me __ time 120 _-_ text  my __ time 120 _-_ text  dear; __ time 120 _-_ text /Some __ time 360 _-_ text one __ time 90 _-_ text  else __ time 30 _-_ text  may __ time 120 _-_ text  write __ time 120 _-_ text  a __ time 120 _-_ text  po __ time 120 _-_ text em __ time 120 _-_ text /to __ time 210 _-_ text  let __ time 30 _-_ text  you __ time 90 _-_ text  know __ time 30 _-_ text  just __ time 120 _-_ text  how __ time 120 _-_ text  they __ time 120 _-_ text  feel// __ time 120 _-_ text /but __ time 360 _-_ text  you'll __ time 120 _-_ text  find __ time 240 _-_ text  that __ time 120 _-_ text  my __ time 120 _-_ text  sen __ time 240 _-_ text ti __ time 60 _-_ text ments __ time 60 _-_ text /are __ time 240 _-_ text  just __ time 120 _-_ text  as __ time 120 _-_ text  real. __ time 120 _-_ text Lov __ time 480 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /how __ time 360 _-_ text  I'd __ time 90 _-_ text  love __ time 30 _-_ text  to __ time 90 _-_ text  be __ time 30 _-_ text /your __ time 90 _-_ text  one __ time 30 _-_ text  and __ time 90 _-_ text  on __ time 30 _-_ text ly __ time 240 _-_ text /could __ time 240 _-_ text  you __ time 90 _-_ text  care __ time 30 _-_ text  a __ time 90 _-_ text  lit __ time 30 _-_ text tle __ time 90 _-_ text  bit __ time 30 _-_ text /for __ time 90 _-_ text  lone __ time 30 _-_ text ly __ time 240 _-_ text  me? __ time 240 _-_ text /Lov __ time 960 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /I'm __ time 360 _-_ text  so __ time 90 _-_ text  hap __ time 30 _-_ text py __ time 90 _-_ text /just __ time 30 _-_ text  to __ time 90 _-_ text  be __ time 30 _-_ text  a __ time 90 _-_ text round __ time 30 _-_ text  you __ time 240 _-_ text /I __ time 240 _-_ text  was __ time 90 _-_ text  might __ time 30 _-_ text y __ time 90 _-_ text  luck __ time 30 _-_ text y __ time 90 _-_ text /that __ time 30 _-_ text  I __ time 90 _-_ text  found __ time 30 _-_ text  you __ time 240 _-_ text  free. __ time 240 _-_ text /I __ time 600 _-_ text  call __ time 120 _-_ text  you __ time 120 _-_ text  ""Lov __ time 120 _-_ text ab __ time 60 _-_ text le"" __ time 60 _-_ text /that __ time 360 _-_ text  the __ time 120 _-_ text  name __ time 120 _-_ text /that __ time 120 _-_ text  fits __ time 120 _-_ text  you __ time 120 _-_ text  like __ time 120 _-_ text  a __ time 120 _-_ text  glove// __ time 120 _-_ text /Beau __ time 480 _-_ text ti __ time 90 _-_ text ful// __ time 30 _-_ text  won __ time 360 _-_ text der __ time 90 _-_ text ful// __ time 30 _-_ text /made __ time 360 _-_ text  for __ time 180 _-_ text  me __ time 60 _-_ text  to __ time 120 _-_ text  love; __ time 120 _-_ text /Lov __ time 480 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /all __ time 360 _-_ text  my __ time 90 _-_ text  life __ time 30 _-_ text  you'll __ time 90 _-_ text  be __ time 30 _-_ text /the __ time 90 _-_ text  one __ time 30 _-_ text  I __ time 90 _-_ text  care __ time 30 _-_ text  for// __ time 240 _-_ text /can't __ time 240 _-_ text  you __ time 90 _-_ text  find __ time 30 _-_ text  a __ time 90 _-_ text  lit __ time 30 _-_ text tle __ time 90 _-_ text  love __ time 30 _-_ text /to __ time 90 _-_ text  spare __ time 30 _-_ text  for __ time 240 _-_ text  me. __ time 240 _-_ text Lov __ time 960 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /how __ time 360 _-_ text  I'd __ time 90 _-_ text  love __ time 30 _-_ text  to __ time 90 _-_ text  be __ time 30 _-_ text /your __ time 90 _-_ text  one __ time 30 _-_ text  and __ time 90 _-_ text  on __ time 30 _-_ text ly __ time 240 _-_ text /could __ time 240 _-_ text  you __ time 90 _-_ text  care __ time 30 _-_ text  a __ time 90 _-_ text  lit __ time 30 _-_ text tle __ time 90 _-_ text  bit __ time 30 _-_ text /for __ time 90 _-_ text  lone __ time 30 _-_ text ly __ time 240 _-_ text  me? __ time 240 _-_ text /Lov __ time 960 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /I'm __ time 360 _-_ text  so __ time 90 _-_ text  hap __ time 30 _-_ text py __ time 90 _-_ text /just __ time 30 _-_ text  to __ time 90 _-_ text  be __ time 30 _-_ text  a __ time 90 _-_ text round __ time 30 _-_ text  you __ time 240 _-_ text /I __ time 240 _-_ text  was __ time 90 _-_ text  might __ time 30 _-_ text y __ time 90 _-_ text  luck __ time 30 _-_ text y __ time 90 _-_ text /that __ time 30 _-_ text  I __ time 90 _-_ text  found __ time 30 _-_ text  you __ time 240 _-_ text  free. __ time 240 _-_ text /I __ time 600 _-_ text  call __ time 120 _-_ text  you __ time 120 _-_ text  ""Lov __ time 120 _-_ text ab __ time 60 _-_ text le"" __ time 60 _-_ text /that __ time 360 _-_ text  the __ time 120 _-_ text  name __ time 120 _-_ text /that __ time 120 _-_ text  fits __ time 120 _-_ text  you __ time 120 _-_ text  like __ time 120 _-_ text  a __ time 120 _-_ text  glove// __ time 120 _-_ text /Beau __ time 480 _-_ text ti __ time 90 _-_ text ful// __ time 30 _-_ text  won __ time 360 _-_ text der __ time 90 _-_ text ful// __ time 30 _-_ text /made __ time 360 _-_ text  for __ time 180 _-_ text  me __ time 60 _-_ text  to __ time 120 _-_ text  love; __ time 120 _-_ text /Lov __ time 480 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /all __ time 360 _-_ text  my __ time 90 _-_ text  life __ time 30 _-_ text  you'll __ time 90 _-_ text  be __ time 30 _-_ text /the __ time 90 _-_ text  one __ time 30 _-_ text  I __ time 90 _-_ text  care __ time 30 _-_ text  for// __ time 240 _-_ text /can't __ time 240 _-_ text  you __ time 90 _-_ text  find __ time 30 _-_ text  a __ time 90 _-_ text  lit __ time 30 _-_ text tle __ time 90 _-_ text  love __ time 30 _-_ text /to __ time 90 _-_ text  spare __ time 30 _-_ text  for __ time 240 _-_ text  me. __ time 240 _-_ text Let __ time 840 _-_ text  the __ time 90 _-_ text  whole __ time 30 _-_ text  world __ time 120 _-_ text  sing __ time 120 _-_ text  your __ time 120 _-_ text  prais __ time 120 _-_ text es __ time 120 _-_ text /no __ time 210 _-_ text bo __ time 30 _-_ text dy __ time 90 _-_ text  blames __ time 30 _-_ text  them __ time 120 _-_ text  if __ time 120 _-_ text  they __ time 120 _-_ text  do __ time 120 _-_ text /but __ time 360 _-_ text  please __ time 120 _-_ text  dear __ time 120 _-_ text  won't __ time 240 _-_ text  you __ time 90 _-_ text  lis __ time 30 _-_ text ten __ time 120 _-_ text /while __ time 240 _-_ text  I __ time 90 _-_ text  sing __ time 30 _-_ text  your __ time 120 _-_ text  prais __ time 120 _-_ text es __ time 120 _-_ text  too! __ time 120 _-_ text /Just __ time 360 _-_ text  be __ time 90 _-_ text lieve __ time 30 _-_ text  me __ time 120 _-_ text  when __ time 120 _-_ text  I __ time 120 _-_ text  tell __ time 120 _-_ text  you __ time 120 _-_ text /I __ time 210 _-_ text  fell __ time 30 _-_ text  in __ time 90 _-_ text  love __ time 30 _-_ text  right __ time 120 _-_ text  from __ time 120 _-_ text  the __ time 120 _-_ text  start __ time 120 _-_ text /and __ time 360 _-_ text  each __ time 120 _-_ text  word __ time 240 _-_ text  that __ time 120 _-_ text  I __ time 120 _-_ text  bring __ time 240 _-_ text  to __ time 60 _-_ text  you __ time 60 _-_ text /comes __ time 240 _-_ text  from __ time 120 _-_ text  my __ time 120 _-_ text  heart. __ time 120 _-_ text Lov __ time 480 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /how __ time 360 _-_ text  I'd __ time 90 _-_ text  love __ time 30 _-_ text  to __ time 90 _-_ text  be __ time 30 _-_ text /your __ time 90 _-_ text  one __ time 30 _-_ text  and __ time 90 _-_ text  on __ time 30 _-_ text ly __ time 240 _-_ text /could __ time 240 _-_ text  you __ time 90 _-_ text  care __ time 30 _-_ text  a __ time 90 _-_ text  lit __ time 30 _-_ text tle __ time 90 _-_ text  bit __ time 30 _-_ text /for __ time 90 _-_ text  lone __ time 30 _-_ text ly __ time 240 _-_ text  me? __ time 240 _-_ text /Lov __ time 960 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /I'm __ time 360 _-_ text  so __ time 90 _-_ text  hap __ time 30 _-_ text py __ time 90 _-_ text /just __ time 30 _-_ text  to __ time 90 _-_ text  be __ time 30 _-_ text  a __ time 90 _-_ text round __ time 30 _-_ text  you __ time 240 _-_ text /I __ time 240 _-_ text  was __ time 90 _-_ text  might __ time 30 _-_ text y __ time 90 _-_ text  luck __ time 30 _-_ text y __ time 90 _-_ text /that __ time 30 _-_ text  I __ time 90 _-_ text  found __ time 30 _-_ text  you __ time 240 _-_ text  free. __ time 240 _-_ text /I __ time 600 _-_ text  call __ time 120 _-_ text  you __ time 120 _-_ text  ""Lov __ time 120 _-_ text ab __ time 60 _-_ text le"" __ time 60 _-_ text /that __ time 360 _-_ text  the __ time 120 _-_ text  name __ time 120 _-_ text /that __ time 120 _-_ text  fits __ time 120 _-_ text  you __ time 120 _-_ text  like __ time 120 _-_ text  a __ time 120 _-_ text  glove// __ time 120 _-_ text /Beau __ time 480 _-_ text ti __ time 90 _-_ text ful// __ time 30 _-_ text  won __ time 360 _-_ text der __ time 90 _-_ text ful// __ time 30 _-_ text /made __ time 360 _-_ text  for __ time 180 _-_ text  me __ time 60 _-_ text  to __ time 120 _-_ text  love; __ time 120 _-_ text /Lov __ time 480 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /all __ time 360 _-_ text  my __ time 90 _-_ text  life __ time 30 _-_ text  you'll __ time 90 _-_ text  be __ time 30 _-_ text /the __ time 90 _-_ text  one __ time 30 _-_ text  I __ time 90 _-_ text  care __ time 30 _-_ text  for// __ time 240 _-_ text /can't __ time 240 _-_ text  you __ time 90 _-_ text  find __ time 30 _-_ text  a __ time 90 _-_ text  lit __ time 30 _-_ text tle __ time 90 _-_ text  love __ time 30 _-_ text /to __ time 90 _-_ text  spare __ time 30 _-_ text  for __ time 240 _-_ text  me. __ time 240 _-_ text Lov __ time 960 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /how __ time 360 _-_ text  I'd __ time 90 _-_ text  love __ time 30 _-_ text  to __ time 90 _-_ text  be __ time 30 _-_ text /your __ time 90 _-_ text  one __ time 30 _-_ text  and __ time 90 _-_ text  on __ time 30 _-_ text ly __ time 240 _-_ text /could __ time 240 _-_ text  you __ time 90 _-_ text  care __ time 30 _-_ text  a __ time 90 _-_ text  lit __ time 30 _-_ text tle __ time 90 _-_ text  bit __ time 30 _-_ text /for __ time 90 _-_ text  lone __ time 30 _-_ text ly __ time 240 _-_ text  me? __ time 240 _-_ text /Lov __ time 960 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /I'm __ time 360 _-_ text  so __ time 90 _-_ text  hap __ time 30 _-_ text py __ time 90 _-_ text /just __ time 30 _-_ text  to __ time 90 _-_ text  be __ time 30 _-_ text  a __ time 90 _-_ text round __ time 30 _-_ text  you __ time 240 _-_ text /I __ time 240 _-_ text  was __ time 90 _-_ text  might __ time 30 _-_ text y __ time 90 _-_ text  luck __ time 30 _-_ text y __ time 90 _-_ text /that __ time 30 _-_ text  I __ time 90 _-_ text  found __ time 30 _-_ text  you __ time 240 _-_ text  free. __ time 240 _-_ text /I __ time 600 _-_ text  call __ time 120 _-_ text  you __ time 120 _-_ text  ""Lov __ time 120 _-_ text ab __ time 60 _-_ text le"" __ time 60 _-_ text /that __ time 360 _-_ text  the __ time 120 _-_ text  name __ time 120 _-_ text /that __ time 120 _-_ text  fits __ time 120 _-_ text  you __ time 120 _-_ text  like __ time 120 _-_ text  a __ time 120 _-_ text  glove// __ time 120 _-_ text /Beau __ time 480 _-_ text ti __ time 90 _-_ text ful// __ time 30 _-_ text  won __ time 360 _-_ text der __ time 90 _-_ text ful// __ time 30 _-_ text /made __ time 360 _-_ text  for __ time 180 _-_ text  me __ time 60 _-_ text  to __ time 120 _-_ text  love; __ time 120 _-_ text /Lov __ time 480 _-_ text ab __ time 90 _-_ text le// __ time 30 _-_ text  Lov __ time 360 _-_ text ab __ time 90 _-_ text le __ time 30 _-_ text /all __ time 360 _-_ text  my __ time 90 _-_ text  life __ time 30 _-_ text  you'll __ time 90 _-_ text  be __ time 30 _-_ text /the __ time 90 _-_ text  one __ time 30 _-_ text  I __ time 90 _-_ text  care __ time 30 _-_ text  for// __ time 240 _-_ text /can't __ time 240 _-_ text  you __ time 90 _-_ text  find __ time 30 _-_ text  a __ time 90 _-_ text  lit __ time 30 _-_ text tle __ time 90 _-_ text  love __ time 30 _-_ text /to __ time 90 _-_ text  spare __ time 30 _-_ text  for __ time 240 _-_ text  me. __ time 240",4/4,C,151.0,24
its_impossible_tcg.mid," _-_ name ""IT'S IMPOSSIBLE"" __ time 0 _-_ name Strings __ time 0 _-_ name Clarinet __ time 0 _-_ name Nylon-Str. Gt. __ time 0 _-_ name Cello __ time 0 _-_ name Drums __ time 0 _-_ name GM/GS  __ time 0"," _-_ text Music by A. Manzanero// 1968 __ time 0 _-_ text Orig. arrangement: Thomas C. Gannon// 4/88 __ time 0 _-_ text Midi arrangement: TCG// 12/96 __ time 0 _-_ text Opus#39--3:55--Schmaltz Ballad __ time 0 _-_ text ""Instrument"": SC-55ST (**GM**/GS) __ time 0 _-_ text (With many changes for ""ad lib"" feel) __ time 0 _-_ text GM reset __ time 0",4/4,G,64.0,24
frenesi-chacha_jc2.mid, _-_ name Frenesi __ time 0 _-_ name  __ time 0 _-_ name  __ time 0 _-_ name  __ time 0 _-_ name  __ time 0 _-_ name  __ time 0 _-_ name  __ time 0 _-_ name  __ time 0 _-_ name  __ time 0, _-_ text seq.juliocezar@mps.com.br@ __ time 0,4/4,C,80.0,24
joy_spring-CBrown_ak.mid, _-_ name  arranged by Armin Keil __ time 0 _-_ name http://home.t-online.de __ time 0 _-_ name /home/A.Keil __ time 0, _-_ text n __ time 2860 _-_ text piano __ time 0 _-_ text JOY  SPRING __ time 160 _-_ text INTRO __ time 160 _-_ text CLIFFORD BROWN __ time 600 _-_ text A1 __ time 160 _-_ text A2 __ time 160 _-_ text B __ time 3 _-_ text A3 __ time 160 _-_ text A1 __ time 160 _-_ text A2 __ time 160 _-_ text B __ time 3 _-_ text A3 __ time 160,4/4,F,200.0,24
pick_yourself_up-pt-kar_dm.mid, _-_ name Pick Yourself Up __ time 0 _-_ name Pick Yourself Up __ time 0 _-_ name Kern/Fields __ time 0 _-_ name Sequence by __ time 0 _-_ name dougmck@pipeline.com.au __ time 0 _-_ name  __ time 0,,4/4,,154.0,24
here_to_stay-Metheny_rg3.mid, _-_ name Here to stay __ time 0 _-_ name Bass __ time 0 _-_ name Drums __ time 0 _-_ name Coros __ time 0 _-_ name Melodia __ time 0 _-_ name Piano __ time 0 _-_ name Strings __ time 0 _-_ name Bateria Percusion __ time 0 _-_ name Organo __ time 0 _-_ name MusicBox __ time 0 _-_ name Marimba __ time 0, _-_ text Pat Metheny@ __ time 0 _-_ text Played by Ramon Garcia@ __ time 0,4/4,C,195.0,24
anonimo_veneziano_jc2.mid, _-_ name Anonimo veneziano __ time 0, _-_ text Banda Azul@ __ time 0 _-_ text juliocezar@mps.com.br@ __ time 0,4/4,C,102.0,24
