Name,Image,Sound,Degrees,Intervals,Integer notation,# of pitch classes,Lower tetrachord,Upper tetrachord,Use of key signature usual or unusual
15 equal temperament,15-tet scale on C.,Play (help·info),—,—,—,15,—,—,—
16 equal temperament,16-tet scale on C.,Play (help·info),—,—,—,16,—,—,
17 equal temperament,17-tet scale on C.,Play (help·info),—,—,—,17,—,—
19 equal temperament,19-tet scale on C.,Play (help·info),—,—,—,19,—,—
21 equal temperament,21-tet scale on C.,Play (help·info),—,—,—,21,—,—
Acoustic scale,Acoustic scale on C.,Play (help·info),1 2 3 ♯4 5 6 ♭7,W-W-W-H-W-H-W,"(0,2,4,6,7,9,10)",7,whole tone,minor,—
Aeolian mode or natural minor scale,Aeolian on C.,Play (help·info),1 2 ♭3 4 5 ♭6 ♭7,W-H-W-W-H-W-W,"(0,2,3,5,7,8,10)",7,minor,Phrygian,Usual
Algerian scale,Algerian scale on C.,Play (help·info),1 2 ♭3 ♯4 5 ♭6 7 etc.,W-H-3H-H-H-3H-H-W-H-W,"(0,2,3,6,7,9,11,12,14,15,17)",variable,—,—,—
Alpha scale,—,Play (help·info),—,—,—,15.39,—,—,—
Altered scale or Super Locrian scale,Altered scale on C.,Play (help·info),1 ♭2 ♭3 ♭4 ♭5 ♭6 ♭7,H-W-H-W-W-W-W,"(0,1,3,4,6,8,10)",7,diminished,whole tone,—
Augmented scale,Augmented scale on C.,Play (help·info),1 ♭3 3 5 ♯5 7,3H-H-3H-H-3H-H,"(0,3,4,7,8,11)",6,—,—,—
Bebop dominant scale,Bebop dominant scale on C.,Play (help·info),1 2 3 4 5 6 ♭7 7,W-W-H-W-W-H-H-H,"(0,2,4,5,7,9,10,11)",8,—,—,—
Beta scale,—,Play (help·info),—,—,—,18.75,—,—,—
Blues scale,Blues scale on C.,Play (help·info),1 ♭3 4 ♭5 5 ♭7,3H-W-H-H-3H-W,"(0,3,5,6,7,10)",6,—,—,—
Bohlen–Pierce scale,—,Play (help·info),—,—,—,—,—,—,—
Chromatic scale,Chromatic scale on C.,Play (help·info),"1 ♯1 2 ♯2 3 4 ♯4 5 ♯5 6 ♯6 7
7 ♭7 6 ♭6 5 ♭5 4 3 ♭3 2 ♭2 1",H-H-H-H-H-H-H-H-H-H-H-H,"(0,1,2,3,4,5,6,7,8,9,10,11)",12,—,—,—
Delta scale,—,Play (help·info),—,—,—,85.7,—,—,—
Dorian mode,Dorian on C.,Play (help·info),1 2 ♭3 4 5 6 ♭7,W-H-W-W-W-H-W,"(0,2,3,5,7,9,10)",7,minor,minor,Usual
Double harmonic scale,Double harmonic scale on C.,Play (help·info),1 ♭2 3 4 5 ♭6 7,H-3H-H-W-H-3H-H,"(0,1,4,5,7,8,10)",7,harmonic,harmonic,Unusual
Enigmatic scale,Enigmatic scale on C.,Play (help·info),1 ♭2 3 ♯4 ♯5 ♯6 7,H-3H-W-W-W-H-H,"(0,1,4,6,8,10,11)",7,,,Unusual
Euler–Fokker genus,Euler-Fokker genus 337 on C.,Play (help·info),—,—,—,6,—,—,—
Flamenco mode,Flamenco mode on C.,Play (help·info),1 ♭2 3 4 5 ♭6 7,H-3H-H-W-H-3H-H,"(0,1,4,5,7,8,11)",7,Phrygian,Phrygian,Unusual
Gamma scale,—,Play (help·info),—,—,—,34.29,—,—,—
