,,note,set_name,instr,PC,EXC,pan
27,1,D#,standard,High Q,1,,49
27,2,D#,room,@,9,,
27,3,D#,power,@,17,,
27,4,D#,electronic,,25,,
27,5,D#,analog,,26,,
27,6,D#,jazz,,33,,
27,7,D#,brush,,41,,
27,8,D#,orchestra,,49,,
27,9,D#,sfx,,57,,
28,1,E,standard,Slap,1,,49
28,2,E,room,@,9,,
28,3,E,power,@,17,,
28,4,E,electronic,,25,,
28,5,E,analog,,26,,
28,6,E,jazz,,33,,
28,7,E,brush,,41,,
28,8,E,orchestra,,49,,
28,9,E,sfx,,57,,
29,1,F,standard,Scratch Push,1,7,54
29,2,F,room,@,9,,
29,3,F,power,@,17,,
29,4,F,electronic,,25,,
29,5,F,analog,,26,,
29,6,F,jazz,,33,,
29,7,F,brush,,41,,
29,8,F,orchestra,,49,,
29,9,F,sfx,,57,,
30,1,F#,standard,Scratch Pull,1,7,54
30,2,F#,room,@,9,,
30,3,F#,power,@,17,,
30,4,F#,electronic,,25,,
30,5,F#,analog,,26,,
30,6,F#,jazz,,33,,
30,7,F#,brush,,41,,
30,8,F#,orchestra,,49,,
30,9,F#,sfx,,57,,
31,1,G,standard,Sticks,1,,64
31,2,G,room,@,9,,
31,3,G,power,@,17,,
31,4,G,electronic,,25,,
31,5,G,analog,,26,,
31,6,G,jazz,,33,,
31,7,G,brush,,41,,
31,8,G,orchestra,,49,,
31,9,G,sfx,,57,,
32,1,G#,standard,Square Click,1,,54
32,2,G#,room,@,9,,
32,3,G#,power,@,17,,
32,4,G#,electronic,,25,,
32,5,G#,analog,,26,,
32,6,G#,jazz,,33,,
32,7,G#,brush,,41,,
32,8,G#,orchestra,,49,,
32,9,G#,sfx,,57,,
33,1,A,standard,Metronome Click,1,,64
33,2,A,room,@,9,,
33,3,A,power,@,17,,
33,4,A,electronic,,25,,
33,5,A,analog,,26,,
33,6,A,jazz,,33,,
33,7,A,brush,,41,,
33,8,A,orchestra,,49,,
33,9,A,sfx,,57,,
34,1,A#,standard,Metronome Bell,1,,64
34,2,A#,room,@,9,,
34,3,A#,power,@,17,,
34,4,A#,electronic,,25,,
34,5,A#,analog,,26,,
34,6,A#,jazz,,33,,
34,7,A#,brush,,41,,
34,8,A#,orchestra,,49,,
34,9,A#,sfx,,57,,
35,1,B,standard,Acoustic Bass Drum,1,,64
35,2,B,room,@,9,,
35,3,B,power,@,17,,
35,4,B,electronic,,25,,
35,5,B,analog,,26,,
35,6,B,jazz,,33,,
35,7,B,brush,,41,,
35,8,B,orchestra,,49,,
35,9,B,sfx,,57,,
36,1,C,standard,Bass Drum 1,1,,64
36,2,C,room,@,9,,
36,3,C,power,Power Kick Drum,17,,64
36,4,C,electronic,,25,,
36,5,C,analog,,26,,
36,6,C,jazz,,33,,
36,7,C,brush,,41,,
36,8,C,orchestra,,49,,
36,9,C,sfx,,57,,
37,1,C#,standard,Side Stick,1,,64
37,2,C#,room,@,9,,
37,3,C#,power,@,17,,
37,4,C#,electronic,,25,,
37,5,C#,analog,,26,,
37,6,C#,jazz,,33,,
37,7,C#,brush,,41,,
37,8,C#,orchestra,,49,,
37,9,C#,sfx,,57,,
38,1,D,standard,Acoustic Snare,1,,64
38,2,D,room,@,9,,
38,3,D,power,Power Snare Drum,17,,64
38,4,D,electronic,,25,,
38,5,D,analog,,26,,
38,6,D,jazz,,33,,
38,7,D,brush,,41,,
38,8,D,orchestra,,49,,
38,9,D,sfx,,57,,
39,1,D#,standard,Hand Clap,1,,54
39,2,D#,room,@,9,,
39,3,D#,power,@,17,,
39,4,D#,electronic,,25,,
39,5,D#,analog,,26,,
39,6,D#,jazz,,33,,
39,7,D#,brush,,41,,
39,8,D#,orchestra,,49,,
39,9,D#,sfx,,57,,
40,1,E,standard,Electric Snare,1,,64
40,2,E,room,@,9,,
40,3,E,power,@,17,,
40,4,E,electronic,,25,,
40,5,E,analog,,26,,
40,6,E,jazz,,33,,
40,7,E,brush,,41,,
40,8,E,orchestra,,49,,
40,9,E,sfx,,57,,
41,1,F,standard,Low Floor Tom,1,,34
41,2,F,room,Room Low Tom 2,9,,34
41,3,F,power,Power Low Tom 2,17,,34
41,4,F,electronic,,25,,
41,5,F,analog,,26,,
41,6,F,jazz,,33,,
41,7,F,brush,,41,,
41,8,F,orchestra,,49,,
41,9,F,sfx,,57,,
42,1,F#,standard,Closed Hi-hat,1,1,84
